HydroSHEDS_ID CHIRPSv2.0 CMORPHv0.x-RAW CPC-Unifiedv1.0 CRU-TSv4.03 ERA5-Land ERA5 GPCCv7.0 PERSIANN-CCS PERSIANN-CDR PERSIANN PREC-Land SM2RAIN-CCI TRMM-3B42RT TRMM-3B43 UDELv5.0
1051584690 634.474 546.856 591.214 683.461 500.457 543.666 616.799 577.683 651.179 524.56 596.874 512.363 655.024 661.178 463.256
1051584780 661.386 487.711 632.721 718.916 506.835 551.881 764.599 552.579 655.835 516.396 728.207 622.481 683.633 711.103 592.481
1051576130 606.865 646.891 589.922 618.442 585.217 622.344 624.691 720.126 630.432 648.16 637.349 577.424 629.248 617.306 519.782
1051576090 459.712 496.27 472.132 482.177 499.306 530.17 500.693 615.501 507.992 506.746 454.135 493.013 500.746 495.877 428.946
1051548260 291.982 462.114 380.651 308.512 354.791 379.331 358.21 574.977 444.686 476.964 330.852 418.613 379.396 373.022 403.856
1051548220 459.85 548.882 506.32 424.909 504.565 526.306 462.79 797.872 505.471 581.726 436.42 501.347 492.477 498.355 465.277
1051548760 308.673 486.064 389.954 336.946 353.638 373.128 349.594 571.441 440.182 480.659 355.009 405.241 359.116 360.453 341.342
1051548750 397.163 523.094 468.761 384.498 409.171 426.896 395.875 713.344 454.55 540.722 385.664 490.241 433.212 439.577 382.73
1051552540 428.921 599.039 446.076 432.444 420.737 437.438 433.112 701.461 474.083 563.651 411.781 493.394 447.135 443.969 394.036
1051552590 438.091 606.167 433.074 486.391 479.234 505.184 483.099 666.425 500.001 567.7 473.891 516.549 485.794 472.971 440.816
1051569210 467.088 635.544 411.757 462.459 426.508 435.46 431.333 729.487 497.687 590.933 426.337 494.437 468.157 460.358 398.05
1051569100 397.123 589.862 486.751 399.923 395.982 408.598 429.817 702.191 441.126 531.887 428.963 516.806 439.111 433.505 403.748
1051571680 432.308 638.259 410.101 454.19 402.774 417.451 420.044 691.805 480.254 573.889 422.042 493.994 455.652 449.184 399.476
