"HydroSHEDS_ID" "Latitude" "Longitude" "Area" "Elevation" "Slope" "CTI" "NDVI"
"1051440050" -15.0541 15.4514 8196.2 1291.5994 1.2175 11.2127 0.605
"1051417260" -14.8165 14.3874 6992.3 1404.8745 1.302 11.1152 0.524
"1051417180" -14.7577 15.0682 229.4 1263.7351 1.3146 11.4129 0.468
"1051415100" -14.2318 14.5968 5238.5 1479.3484 2.1205 10.6917 0.573
"1051415020" -13.7257 15.5159 22858.4 1550.3237 2.5347 10.4797 0.593
"1050018130" -16.4866 11.9876 6307.9 208.6231 1.5776 11.1182 0.081
"1050018310" -16.3354 12.913 19893.8 755.3757 4.4271 10.4556 0.279
"1050018320" -15.4826 12.2344 2393.4 195.7548 1.3742 11.2431 0.116
"1050018410" -15.6156 13.1362 10720 733.0259 5.1037 10.315 0.366
"1050018420" -14.3348 12.9428 27419.2 641.7852 5.3869 10.0913 0.385
"1050018860" -13.7064 13.81 15674.1 923.612 5.3421 9.9333 0.575
"1050018870" -12.9315 13.6475 5622.3 578.8752 4.8486 10.0861 0.486
"1050019010" -12.9808 14.6388 16712.8 1306.2129 6.0969 9.7631 0.607
"1050019020" -11.9149 14.323 18946.2 956.4572 7.0118 9.5959 0.616
"1050019180" -11.7395 15.2181 22907.8 1356.4412 5.4107 9.9095 0.609
"1050019190" -10.5744 13.8087 1081.2 98.0554 2.3737 10.6829 0.342
"1050019270" -10.5271 14.7042 22892.1 879.4906 4.6925 10.0859 0.61
"1050019280" -9.6862 13.5008 3212.6 145.4611 1.7421 11.0791 0.422
"1050019420" -9.3595 13.78 6494.9 87.8791 2.1311 11.0675 0.588
"1051327980" -10.0281 15.8474 31517.3 1074.763 3.0795 10.5228 0.649
"1051327880" -8.9572 15.6082 22935.1 987.8025 3.378 10.3254 0.633
"1051340390" -11.0168 17.9217 27694.7 1205.9819 2.284 10.9747 0.667
"1051340470" -10.6113 16.3495 1618.6 1300.1041 2.6857 10.4979 0.68
"1051343940" -11.5676 17.3467 23357.9 1383.26 2.5083 10.6213 0.635
"1051344010" -11.6556 16.3646 13303.5 1576.9103 3.4469 10.1159 0.592
"1051369030" -13.0675 17.6929 14146 1422.44 2.5545 10.4274 0.687
"1051369020" -12.6559 17.1722 9016.8 1482.2802 1.9426 10.774 0.617
"1050019430" -7.7151 14.1361 76150.4 465.7086 4.7471 10.0638 0.616
"1050020040" -5.9849 13.1187 11060.5 169.8814 4.3377 10.3825 0.55
"1051262460" -5.5441 13.8396 8557.2 373.7533 5.6584 9.9995 0.566
"1051262550" -6.2784 13.9508 6932.8 394.5135 4.6305 10.0278 0.581
"1051251800" -4.9529 14.2928 11330 445.5274 5.6422 9.9172 0.541
"1051251910" -5.6931 14.6323 7013 502.8418 4.6885 9.9775 0.596
"1051244040" -4.3422 15.1622 22446.6 498.2043 6.2874 10.0867 0.594
"1051244140" -6.1617 15.2617 14334.4 833.8234 4.4367 9.884 0.619
"1051228520" -3.5995 15.9707 8884.1 569.7438 2.5783 11.3585 0.61
"1051228680" -4.8016 16.0404 11748.6 695.1906 3.3923 10.4639 0.601
"1051213630" -2.1314 15.5954 67657.6 464.1649 3.6008 11.0139 0.602
"1051213640" -3.0257 16.6332 4979.4 380.2416 2.8335 10.8697 0.681
"1051210800" -3.4544 16.9235 4930.7 380.194 2.1687 11.2933 0.665
"1051210720" -2.7503 19.9373 136173.6 381.7609 2.3909 11.3346 0.716
"1051214380" -6.0121 19.651 81650.2 671.8914 3.6601 10.5382 0.662
"1051214450" -7.1744 17.7723 270904.4 805.7718 4.6388 10.1238 0.668
"1051174950" -1.2778 16.7602 94.9 292.0487 0.4152 14.2495 0.579
"1051174960" -0.9182 17.827 14082.8 311.7309 0.9859 13.685 0.701
"1051173010" 0.1002 15.4158 71885 401.7425 2.2026 11.0658 0.683
"1051173020" -0.9581 16.9531 858.7 295.3137 0.3571 13.254 0.683
"1051163830" 0.968 16.6425 23172.5 345.6977 1.1495 11.9361 0.721
"1051163840" 1.1973 17.3126 29980.6 328.1918 0.5582 12.706 0.721
"1051156960" -0.1555 18.0824 1678.3 305.896 0.3462 15.1285 0.703
"1051156950" 2.6557 18.435 89105.2 374.5751 1.2751 11.7281 0.736
"1051142510" 0.4921 18.331 1180.4 310.2268 0.4278 14.7442 0.708
"1051142520" -1.284 21.6528 189724.2 403.471 2.7463 10.6524 0.753
"1051129350" 2.6548 22.24 151486.1 428.0105 1.7379 11.2854 0.777
"1051129360" 0.8421 21.364 82953.6 398.9711 1.9812 10.9927 0.754
"1051235290" -6.3748 23.4632 149479.8 739.0128 3.7936 10.192 0.686
"1051235380" -4.6242 21.1332 10179.5 489.039 5.3612 9.8097 0.74
"1051248590" -8.9623 21.1018 165579.6 958.2508 2.2752 10.8644 0.655
"1051248600" -7.8722 22.5646 70611.6 836.7744 2.9575 10.4155 0.698
"1051103490" 1.8576 15.4943 7654.8 438.9335 3.6111 10.1481 0.733
"1051103500" 4.4187 15.2097 84196.3 652.6569 3.1261 10.2392 0.684
"1051094100" 2.7923 13.4983 39859.7 612.3486 4.3393 9.9137 0.665
"1051093980" 3.1413 14.7526 27340.2 588.6508 4.186 9.905 0.705
"1051052780" 5.1305 18.6425 70862.7 508.1462 2.1141 10.8054 0.686
"1051052770" 4.5442 16.848 31448.7 617.3854 2.5394 10.4456 0.709
"1051015610" 6.1517 20.8802 40460.3 552.8477 2.0319 10.6532 0.691
"1051015760" 4.6636 21.0875 23802.8 468.0466 2.2921 10.8534 0.699
"1051115180" 1.6812 27.6357 121167.9 782.2504 3.4191 10.2936 0.772
"1051115330" 0.8424 23.7699 6242.4 419.0951 1.9171 11.5512 0.755
"1051125060" -2.0647 26.9694 315178.7 758.4453 4.796 10.236 0.742
"1051125130" -3.8164 24.8962 104166.1 624.5609 2.4014 10.6414 0.687
"1051037320" 7.1679 22.5393 80941.8 697.7658 1.7652 10.7851 0.692
"1051037650" 4.2849 22.3256 2888.9 453.8099 1.9452 10.945 0.75
"1051040200" 5.7319 24.6273 168609.6 629.082 2.267 10.5797 0.728
"1051040300" 3.5837 27.603 140156.2 743.1807 2.0959 10.7253 0.76
"1051259940" -6.0867 26.7558 10843.4 642.8326 1.1818 11.4356 0.681
"1051259950" -5.7452 27.4107 3891.9 661.9598 2.184 11.2357 0.693
"1051266120" -6.3288 28.1141 9655 801.4784 2.3734 10.4904 0.672
"1051266020" -5.9503 28.6489 18016.3 957.175 4.3624 11.2715 0.588
"1051273600" -6.6503 27.024 2579.2 628.8605 1.3236 11.408 0.673
